2022-02-23 23:13:51.124885 > 	Starting compilation of PauliZ111
2022-02-23 23:13:51.125234 > 	There are 56 processors available to Pool.
2022-02-23 23:13:51.125281 > 	The branching factor is 2.
2022-02-23 23:13:51.125319 > 	The beam factor is 28.
2022-02-23 23:13:51.260350 > 	Creating a pool of 56 workers
2022-02-23 23:13:51.292775 > 	New best! 0.03369570118201132 at depth 0
2022-02-23 23:13:51.293393 > 	Popped a node with score: 0.3369570118201132 at depth: 0
2022-02-23 23:13:51.566589 > 	Layer completed after 0.27302006632089615 seconds
2022-02-23 23:13:51.567198 > 	Popped a node with score: 0.4346042400085266 at depth: 1
2022-02-23 23:13:51.567344 > 	Popped a node with score: 0.5146994979829411 at depth: 1
2022-02-23 23:13:51.708167 > 	New best! score: 0.2928932197103813 at depth: 2
2022-02-23 23:13:52.781202 > 	Layer completed after 1.2136561013758183 seconds
2022-02-23 23:13:52.782886 > 	Popped a node with score: 0.2928932197103813 at depth: 2
2022-02-23 23:13:52.783032 > 	Popped a node with score: 0.29590103294787096 at depth: 2
2022-02-23 23:13:52.783173 > 	Popped a node with score: 0.29590104472970036 at depth: 2
2022-02-23 23:13:52.783322 > 	Popped a node with score: 0.30308137314037886 at depth: 2
2022-02-23 23:13:52.918054 > 	New best! score: 0.29289321902971355 at depth: 3
2022-02-23 23:13:56.984582 > 	Layer completed after 4.2010884545743465 seconds
2022-02-23 23:13:56.987592 > 	Popped a node with score: 0.29289321902971355 at depth: 3
2022-02-23 23:13:56.988129 > 	Popped a node with score: 0.2942891972230943 at depth: 3
2022-02-23 23:13:56.988421 > 	Popped a node with score: 0.2959010492136538 at depth: 3
2022-02-23 23:13:56.988563 > 	Popped a node with score: 0.29590105095735786 at depth: 3
2022-02-23 23:13:56.988722 > 	Popped a node with score: 0.30308137296134974 at depth: 3
2022-02-23 23:13:56.988837 > 	Popped a node with score: 0.3964452754006964 at depth: 3
2022-02-23 23:13:56.988981 > 	Popped a node with score: 0.41724276777562463 at depth: 3
2022-02-23 23:13:56.989099 > 	Popped a node with score: 0.43455746901002845 at depth: 3
2022-02-23 23:13:57.190347 > 	New best! score: 0.2926401290867866 at depth: 4
2022-02-23 23:13:57.197729 > 	New best! score: 0.29264012874037304 at depth: 4
2022-02-23 23:13:57.465183 > 	New best! score: 0.22311215123817296 at depth: 4
2022-02-23 23:14:01.383967 > 	Layer completed after 4.394641984254122 seconds
2022-02-23 23:14:01.390377 > 	Popped a node with score: 0.22311215123817296 at depth: 4
2022-02-23 23:14:01.390658 > 	Popped a node with score: 0.22311215476148705 at depth: 4
2022-02-23 23:14:01.390790 > 	Popped a node with score: 0.22311215770224535 at depth: 4
2022-02-23 23:14:01.390906 > 	Popped a node with score: 0.29264012874037304 at depth: 4
2022-02-23 23:14:01.391065 > 	Popped a node with score: 0.2926401290867866 at depth: 4
2022-02-23 23:14:01.391224 > 	Popped a node with score: 0.2928932193132916 at depth: 4
