2022-02-23 23:12:36.491111 > 	Starting compilation of PauliZ101
2022-02-23 23:12:36.491526 > 	There are 56 processors available to Pool.
2022-02-23 23:12:36.491572 > 	The branching factor is 2.
2022-02-23 23:12:36.491611 > 	The beam factor is 28.
2022-02-23 23:12:36.628414 > 	Creating a pool of 56 workers
2022-02-23 23:12:36.823211 > 	New best! 0.07228596423289964 at depth 0
2022-02-23 23:12:36.823760 > 	Popped a node with score: 0.7228596423289964 at depth: 0
2022-02-23 23:12:37.027414 > 	New best! score: 0.32279287879921004 at depth: 1
2022-02-23 23:12:37.411910 > 	New best! score: 0.3032445868168987 at depth: 1
2022-02-23 23:12:37.412259 > 	Layer completed after 0.5882816836237907 seconds
2022-02-23 23:12:37.413094 > 	Popped a node with score: 0.3032445868168987 at depth: 1
2022-02-23 23:12:37.413563 > 	Popped a node with score: 0.32279287879921004 at depth: 1
2022-02-23 23:12:37.601981 > 	New best! score: 0.24620640884678446 at depth: 2
2022-02-23 23:12:37.882383 > 	Layer completed after 0.4686317704617977 seconds
2022-02-23 23:12:37.884288 > 	Popped a node with score: 0.24620640884678446 at depth: 2
2022-02-23 23:12:37.884597 > 	Popped a node with score: 0.2712483356610894 at depth: 2
2022-02-23 23:12:37.884769 > 	Popped a node with score: 0.3161506780963209 at depth: 2
2022-02-23 23:12:37.884933 > 	Popped a node with score: 0.31615069455897393 at depth: 2
2022-02-23 23:12:38.102054 > 	New best! score: 0.245966260420721 at depth: 3
2022-02-23 23:12:38.156633 > 	New best! score: 0.2403286434830224 at depth: 3
2022-02-23 23:12:38.220709 > 	New best! score: 0.24032863683188876 at depth: 3
2022-02-23 23:12:38.615226 > 	New best! score: 0.19876245841785167 at depth: 3
2022-02-23 23:12:38.615573 > 	Layer completed after 0.7303442060947418 seconds
2022-02-23 23:12:38.618800 > 	Popped a node with score: 0.19876245841785167 at depth: 3
2022-02-23 23:12:38.618923 > 	Popped a node with score: 0.24032863683188876 at depth: 3
2022-02-23 23:12:38.619031 > 	Popped a node with score: 0.2403286434830224 at depth: 3
2022-02-23 23:12:38.619113 > 	Popped a node with score: 0.245966260420721 at depth: 3
2022-02-23 23:12:38.619189 > 	Popped a node with score: 0.26793593170620966 at depth: 3
2022-02-23 23:12:38.619275 > 	Popped a node with score: 0.2679359343513329 at depth: 3
2022-02-23 23:12:38.619357 > 	Popped a node with score: 0.26919964896052706 at depth: 3
2022-02-23 23:12:38.619446 > 	Popped a node with score: 0.2712483362593432 at depth: 3
2022-02-23 23:12:38.889684 > 	New best! score: 0.18788227011323766 at depth: 4
2022-02-23 23:12:38.978123 > 	New best! score: 0.1047385254641634 at depth: 4
2022-02-23 23:12:39.057515 > 	New best! score: 0.10473852408641837 at depth: 4
2022-02-23 23:12:39.234997 > 	Layer completed after 0.6154114045202732 seconds
2022-02-23 23:12:39.240663 > 	Popped a node with score: 0.10473852408641837 at depth: 4
2022-02-23 23:12:39.241201 > 	Popped a node with score: 0.1047385254641634 at depth: 4
2022-02-23 23:12:39.241747 > 	Popped a node with score: 0.1619472552558454 at depth: 4
2022-02-23 23:12:39.241922 > 	Popped a node with score: 0.16345029756036744 at depth: 4
2022-02-23 23:12:39.242426 > 	Popped a node with score: 0.1667470119172344 at depth: 4
2022-02-23 23:12:39.242519 > 	Popped a node with score: 0.18788227011323766 at depth: 4
2022-02-23 23:12:39.242595 > 	Popped a node with score: 0.18788227046055106 at depth: 4
2022-02-23 23:12:39.242668 > 	Popped a node with score: 0.2118863481337595 at depth: 4
2022-02-23 23:12:39.242755 > 	Popped a node with score: 0.2391982007350022 at depth: 4
2022-02-23 23:12:39.242838 > 	Popped a node with score: 0.2391982009723186 at depth: 4
2022-02-23 23:12:39.242911 > 	Popped a node with score: 0.2459662608734482 at depth: 4
2022-02-23 23:12:39.242996 > 	Popped a node with score: 0.2679359295367564 at depth: 4
2022-02-23 23:12:39.243070 > 	Popped a node with score: 0.2679359303058725 at depth: 4
2022-02-23 23:12:39.243141 > 	Popped a node with score: 0.26793593290235007 at depth: 4
2022-02-23 23:12:39.243212 > 	Popped a node with score: 0.26793593319130904 at depth: 4
2022-02-23 23:12:39.243295 > 	Popped a node with score: 0.2712483358935668 at depth: 4
2022-02-23 23:12:39.515813 > 	New best! score: 0.10356344469975398 at depth: 5
2022-02-23 23:12:39.516756 > 	New best! score: 0.09107660835380138 at depth: 5
2022-02-23 23:12:39.641870 > 	New best! score: 0.08949344071439114 at depth: 5
2022-02-23 23:12:39.949239 > 	Layer completed after 0.7055667974054813 seconds
2022-02-23 23:12:39.958551 > 	Popped a node with score: 0.08949344071439114 at depth: 5
2022-02-23 23:12:39.958609 > 	Popped a node with score: 0.09107660835380138 at depth: 5
2022-02-23 23:12:39.958655 > 	Popped a node with score: 0.09107660854004707 at depth: 5
2022-02-23 23:12:39.958731 > 	Popped a node with score: 0.0911038828850308 at depth: 5
2022-02-23 23:12:39.958786 > 	Popped a node with score: 0.09110388296379546 at depth: 5
2022-02-23 23:12:39.958825 > 	Popped a node with score: 0.10356344460107425 at depth: 5
2022-02-23 23:12:39.958861 > 	Popped a node with score: 0.10356344468423573 at depth: 5
2022-02-23 23:12:39.958897 > 	Popped a node with score: 0.10356344469975398 at depth: 5
2022-02-23 23:12:39.958932 > 	Popped a node with score: 0.10356344563236697 at depth: 5
2022-02-23 23:12:39.958993 > 	Popped a node with score: 0.11065761250472572 at depth: 5
2022-02-23 23:12:39.959030 > 	Popped a node with score: 0.13765293445484594 at depth: 5
2022-02-23 23:12:39.959066 > 	Popped a node with score: 0.14118350206574082 at depth: 5
2022-02-23 23:12:39.959102 > 	Popped a node with score: 0.1612148479921014 at depth: 5
2022-02-23 23:12:39.959138 > 	Popped a node with score: 0.16121484884860693 at depth: 5
2022-02-23 23:12:39.959174 > 	Popped a node with score: 0.16201017416567387 at depth: 5
2022-02-23 23:12:39.959209 > 	Popped a node with score: 0.17997730280567992 at depth: 5
2022-02-23 23:12:39.959244 > 	Popped a node with score: 0.18780530060793066 at depth: 5
2022-02-23 23:12:39.959290 > 	Popped a node with score: 0.18780530180965727 at depth: 5
2022-02-23 23:12:39.959324 > 	Popped a node with score: 0.18788226987894863 at depth: 5
2022-02-23 23:12:39.959358 > 	Popped a node with score: 0.18788226992663726 at depth: 5
2022-02-23 23:12:39.959392 > 	Popped a node with score: 0.18788227167886096 at depth: 5
2022-02-23 23:12:39.959427 > 	Popped a node with score: 0.18788227349860787 at depth: 5
2022-02-23 23:12:39.959461 > 	Popped a node with score: 0.21188634723291522 at depth: 5
2022-02-23 23:12:39.959496 > 	Popped a node with score: 0.239198202139555 at depth: 5
2022-02-23 23:12:39.959531 > 	Popped a node with score: 0.2391982066509033 at depth: 5
2022-02-23 23:12:39.959566 > 	Popped a node with score: 0.2459662605938474 at depth: 5
2022-02-23 23:12:39.959600 > 	Popped a node with score: 0.26793592961627344 at depth: 5
2022-02-23 23:12:39.959635 > 	Popped a node with score: 0.26793592992522264 at depth: 5
2022-02-23 23:12:40.385266 > 	New best! score: 0.03043393200870903 at depth: 6
2022-02-23 23:12:41.996656 > 	Layer completed after 2.0368687584996223 seconds
2022-02-23 23:12:42.023839 > 	Popped a node with score: 0.03043393200870903 at depth: 6
2022-02-23 23:12:42.023979 > 	Popped a node with score: 0.030519097316733412 at depth: 6
2022-02-23 23:12:42.024081 > 	Popped a node with score: 0.05679282259435592 at depth: 6
2022-02-23 23:12:42.024161 > 	Popped a node with score: 0.05968509713410319 at depth: 6
2022-02-23 23:12:42.024244 > 	Popped a node with score: 0.08738833906113697 at depth: 6
2022-02-23 23:12:42.024332 > 	Popped a node with score: 0.0876817149210608 at depth: 6
2022-02-23 23:12:42.024405 > 	Popped a node with score: 0.08919895670070876 at depth: 6
2022-02-23 23:12:42.024475 > 	Popped a node with score: 0.08919895682852563 at depth: 6
2022-02-23 23:12:42.024543 > 	Popped a node with score: 0.0891989568775926 at depth: 6
2022-02-23 23:12:42.024611 > 	Popped a node with score: 0.08919895689445789 at depth: 6
2022-02-23 23:12:42.024678 > 	Popped a node with score: 0.08919895693304691 at depth: 6
2022-02-23 23:12:42.024746 > 	Popped a node with score: 0.08919895694686597 at depth: 6
2022-02-23 23:12:42.024814 > 	Popped a node with score: 0.08919895737473416 at depth: 6
2022-02-23 23:12:42.024894 > 	Popped a node with score: 0.08919895749387763 at depth: 6
2022-02-23 23:12:42.024978 > 	Popped a node with score: 0.08919895750387052 at depth: 6
2022-02-23 23:12:42.025052 > 	Popped a node with score: 0.08919895759823704 at depth: 6
2022-02-23 23:12:42.025120 > 	Popped a node with score: 0.0891989576394967 at depth: 6
2022-02-23 23:12:42.025187 > 	Popped a node with score: 0.08919895863791683 at depth: 6
2022-02-23 23:12:42.025253 > 	Popped a node with score: 0.08919896251116888 at depth: 6
2022-02-23 23:12:42.025319 > 	Popped a node with score: 0.08919896392782667 at depth: 6
2022-02-23 23:12:42.025386 > 	Popped a node with score: 0.08958228251686684 at depth: 6
2022-02-23 23:12:42.025452 > 	Popped a node with score: 0.09361255161985071 at depth: 6
2022-02-23 23:12:42.025518 > 	Popped a node with score: 0.10356344445703491 at depth: 6
2022-02-23 23:12:42.025584 > 	Popped a node with score: 0.10356344452453081 at depth: 6
2022-02-23 23:12:42.025651 > 	Popped a node with score: 0.10356344455637723 at depth: 6
2022-02-23 23:12:42.025717 > 	Popped a node with score: 0.10356344469535694 at depth: 6
2022-02-23 23:12:42.025782 > 	Popped a node with score: 0.10356344471085033 at depth: 6
2022-02-23 23:12:42.025846 > 	Popped a node with score: 0.10356344480834523 at depth: 6
2022-02-23 23:12:42.631043 > 	New best! score: 0.029468296916076553 at depth: 7
2022-02-23 23:12:42.650670 > 	New best! score: 0.029468296913813585 at depth: 7
2022-02-23 23:12:42.653817 > 	New best! score: 0.02946829690927033 at depth: 7
2022-02-23 23:12:42.654580 > 	New best! score: 0.029468296888549794 at depth: 7
2022-02-23 23:12:42.728976 > 	New best! score: 0.029468296869606836 at depth: 7
2022-02-23 23:12:42.944107 > 	New best! score: 0.01893329499372176 at depth: 7
2022-02-23 23:12:43.058880 > 	New best! score: 0.0189332949052754 at depth: 7
2022-02-23 23:12:43.643259 > 	Layer completed after 1.6171054020524025 seconds
2022-02-23 23:12:43.685885 > 	Popped a node with score: 0.10356344519301719 at depth: 6
2022-02-23 23:12:43.686001 > 	Popped a node with score: 0.10356344568580711 at depth: 6
2022-02-23 23:12:43.686083 > 	Popped a node with score: 0.11065761237960625 at depth: 6
